Uniqueid,Common_Name,Scientific_Name,Second_Common_Name,eBird_Code,Name_Code,Old_Code,Habitat_specialization,Migratory_Status,Foraging_pref_1,Foraging_pref_2,Diet_type_1,Diet_type_2
107,Blyth's Reed Warbler,Acrocephalus dumetorum,,BRWA,BRWA,,Generalist,Winter Migrant,Arboreal,,Insectivorous,
108,Clamorous Reed Warbler,Acrocephalus stentoreus,Indian Great Reed Warbler,CRWA,CRWA,,Wetland,Winter Migrant,Understory,,Insectivorous,
109,Red-rumped Swallow,Cecropis daurica,,RRSW,RRSW,,Generalist,Resident,Aerial,,Insectivorous,
110,Red-vented Bulbul,Pycnonotus cafer,,RVBU,RVBU,,Generalist,Resident,Arboreal,Understory,Omnivorous,
111,Red-whiskered Bulbul,Pycnonotus jocosus,,RWBU,RWBU,,Generalist,Resident,Arboreal,Understory,Omnivorous,
112,White-browed Bulbul,Pycnonotus luteolus,,WBBU,WBBU,,Woodland,Resident,Arboreal,Understory,Frugivorous,
113,Hume's Warbler,Phylloscopus humei,,HUWA,HUWA,,Woodland,Winter Migrant,Arboreal,,Insectivorous,
114,Sulphur-bellied Warbler,Phylloscopus griseolus,,SBWA,SBWA,,Generalist,Winter Migrant,Ground,,Insectivorous,
115,Tickell's Leaf Warbler,Phylloscopus affinis,,TLWA,TLWA,,Generalist,Winter Migrant,Arboreal,,Insectivorous,
116,Common Chiffchaff,Phylloscopus collybita,,COCH,COCH,,Generalist,Winter Migrant,Arboreal,,Insectivorous,
117,Green Warbler ,Phylloscopus nitidus,,GRWA,GRNW,,Woodland,Winter Migrant,Arboreal,,Insectivorous,
118,Greenish Warbler,Phylloscopus trochiloides,,GRWA,GRWA,,Woodland,Winter Migrant,Arboreal,,Insectivorous,
119,Lesser Whitethroat,Sylvia curruca,,LEWH,LEWH,,Scrub,Winter Migrant,Arboreal,Understory,Insectivorous,
120,Yellow-eyed Babbler,Chrysomma sinense,,YEBA,YEBA,,Generalist,Resident,Understory,,Insectivorous,
121,Indian White-eye,Zosterops palpebrosus,Oriental White-eye,IWEY,IWEY,,Generalist,Resident,Arboreal,,Omnivorous,
122,Tawny-bellied Babbler,Dumetia hyperythra,,TBBA,TBBA,,Generalist,Resident,Ground,,Insectivorous,
123,Indian Scimitar-Babbler,Pomatorhinus horsfieldii,,ISBA,ISBA,,Woodland,Resident,Ground,,Insectivorous,
124,Puff-throated Babbler,Pellorneum ruficeps,,PTBA,PTBA,,Woodland,Resident,Ground,,Insectivorous,
